00003	5	5	4
00004	3	1	1
00005	3	5	5
00007	4	4	5
00008	4	5	4
00009	5	1	3
00011	3	1	1
00016	1	1	1
00024	3	1	1
00025	5	5	4
00029	4	5	4
00031	5	5	4
00032	4	1	1
00033	4	5	5
00035	1	1	1
00037	5	4	4
00039	4	4	4
00040	4	5	5
00043	5	4	3
00046	1	4	3
00047	5	5	4
00048	5	5	5
00051	1	5	5
00052	5	1	4
00053	5	5	3
00056	3	1	4
00062	1	5	4
00063	5	5	4
00064	5	5	5
00065	4	4	3
00078	4	1	3
00081	1	4	3
00082	4	5	5
00083	4	1	1
00087	1	1	3
00088	1	1	1
00089	5	5	5
00095	5	5	5
00096	5	5	5
00097	4	5	5
00099	3	5	5
00100	4	4	3
00102	3	4	4
00103	4	1	3
00106	3	5	4
00111	5	5	5
00113	4	4	1
00114	3	5	4
00117	4	1	1
00120	3	1	1
00124	3	5	4
00125	5	5	4
00126	1	1	5
00130	4	4	1
00132	5	4	4
00133	1	1	3
00134	3	1	1
00136	1	1	3
00141	5	5	3
00142	4	4	3
00145	5	5	5
00147	3	5	5
00148	4	5	4
00152	3	4	4
00154	4	5	3
00161	5	5	5
00164	5	4	4
00165	5	4	1
00166	5	5	5
00167	3	5	4
00170	3	1	3
00173	4	1	3
00177	5	5	5
00179	3	5	3
00182	5	5	4
00184	5	1	1
00185	5	4	4
00186	1	1	1
00195	3	5	4
00201	4	5	3
00205	3	1	3
00207	1	1	3
00208	3	1	4
00210	4	1	1
00214	1	1	3
00217	5	5	5
00222	1	1	3
00226	5	4	4
00228	3	4	4
00229	5	4	3
00241	5	4	4
00244	5	5	5
00245	5	5	5
00246	5	5	5
00247	5	4	3
00252	5	5	5
00257	4	4	3
00276	5	1	1
00277	4	1	1
00292	3	1	1
00293	4	1	4
00294	1	1	1
00295	4	4	5
00299	1	1	1
00300	5	5	5
00301	1	1	3
00305	1	1	4
00312	3	1	1
00313	5	5	5
00317	3	5	5
00318	3	1	1
00323	5	5	5
00324	1	1	3
00328	5	5	5
00329	3	4	3
00337	4	1	1
00339	1	4	5
00343	1	1	3
00344	5	5	5
00345	1	1	4
00358	5	5	4
00360	5	5	4
00361	3	1	1
00365	4	5	5
00368	1	1	4
00370	3	1	3
00371	3	1	1
00373	3	1	1
00374	5	5	5
00376	5	1	1
00387	5	5	5
00389	5	5	5
00396	5	5	4
00398	5	5	5
00400	4	5	3
00404	4	1	1
00406	5	5	5
00410	1	1	1
00411	3	5	5
00412	3	1	1
00417	1	1	3
00424	5	5	5
00429	5	1	4
